,País,Ano,Quantidade,Valor
456,Peru,2014,3201,7906
457,Porto Rico,2014,0,0
458,Portugal,2014,9735153,37071142
459,Reino Unido,2014,315,9410
460,Republica Dominicana,2014,0,0
461,Romênia,2014,4163,5629
462,Rússia,2014,0,0
463,San Marino,2014,0,0
464,Sérvia,2014,0,0
465,Síria,2014,0,0
466,Suazilândia,2014,0,0
467,Suíça,2014,0,0
468,"Tcheca, República",2014,0,0
469,Tunísia,2014,0,0
470,Turquia,2014,0,0
471,Ucrânia,2014,0,0
472,Uruguai,2014,1237537,3782282
473,Não consta na tabela,2014,0,0
474,Não declarados,2014,0,0
475,Outros,2014,0,0
476,Africa do Sul,2015,743335,2996543
477,Alemanha,2015,95171,358275
478,Argélia,2015,0,0
479,Arábia Saudita,2015,0,0
480,Argentina,2015,12465041,48043201
481,Armênia,2015,0,0
482,Austrália,2015,395030,1261810
483,Áustria,2015,360,3891
484,Bermudas,2015,0,0
485,Bélgica,2015,0,0
486,Bolívia,2015,0,0
487,Bósnia-Herzegovina,2015,0,0
488,Brasil,2015,1359,12919
489,Bulgária,2015,17244,51678
490,Canada,2015,0,0
491,Chile,2015,36686870,107684380
492,China,2015,0,0
493,"Coreia do Sul, República",2015,0,0
494,Croácia,2015,2069,3779
495,Cuba,2015,0,0
496,Emirados Árabes Unidos,2015,529,10093
497,Eslovênia,2015,4640,24190
498,Eslováquia,2015,0,0
499,Espanha,2015,3024533,11396855
500,Estados Unidos,2015,775131,3848755
501,França,2015,3617130,19353291
502,Geórgia,2015,0,0
503,"Geórgia do Sul e Sandwich do Sul, Ilhas",2015,0,0
504,Grécia,2015,55680,190185
505,Hong Kong,2015,0,0
506,Hungria,2015,5117,74688
507,Indonésia,2015,0,0
508,Irlanda,2015,0,0
509,Israel,2015,19028,55248
510,Itália,2015,8261383,25846195
511,Japão,2015,0,0
512,Iugoslávia,2015,0,0
513,Líbano,2015,6480,56196
514,Luxemburgo,2015,0,0
515,Macedônia,2015,0,0
516,Marrocos,2015,1755,15082
517,México,2015,0,0
518,Moldávia,2015,0,0
519,Montenegro,2015,0,0
520,Noruega,2015,0,0
521,Nova Zelândia,2015,117340,950751
522,Países Baixos (Holanda),2015,0,0
523,Panamá,2015,0,0
524,Peru,2015,0,0
525,Porto Rico,2015,0,0
526,Portugal,2015,9952290,32547365
527,Reino Unido,2015,90,1352
528,Republica Dominicana,2015,0,0
529,Romênia,2015,5950,7925
530,Rússia,2015,0,0
531,San Marino,2015,0,0
532,Sérvia,2015,0,0
533,Síria,2015,0,0
534,Suazilândia,2015,0,0
535,Suíça,2015,1125,6284
536,"Tcheca, República",2015,0,0
537,Tunísia,2015,0,0
538,Turquia,2015,32247,109741
539,Ucrânia,2015,0,0
540,Uruguai,2015,1399547,4069100
541,Não consta na tabela,2015,0,0
542,Não declarados,2015,0,0
543,Outros,2015,0,0
544,Africa do Sul,2016,578829,1686226
545,Alemanha,2016,158386,606333
546,Argélia,2016,0,43
547,Arábia Saudita,2016,0,43
548,Argentina,2016,14098009,45214862
549,Armênia,2016,0,0
550,Austrália,2016,498515,1537834
551,Áustria,2016,1485,7551
552,Bermudas,2016,0,0
553,Bélgica,2016,7,1090
554,Bolívia,2016,0,0
555,Bósnia-Herzegovina,2016,0,0
556,Brasil,2016,183,2127
557,Bulgária,2016,17777,55253
558,Canada,2016,0,0
559,Chile,2016,43400991,123183079
560,China,2016,108,213
561,"Coreia do Sul, República",2016,0,0
562,Croácia,2016,0,0
563,Cuba,2016,0,0
564,Emirados Árabes Unidos,2016,2175,35489
565,Eslovênia,2016,14366,46972
566,Eslováquia,2016,1305,3878
567,Espanha,2016,3948614,12221512
568,Estados Unidos,2016,725420,2924715
569,França,2016,3831566,15940341
570,Geórgia,2016,0,0
571,"Geórgia do Sul e Sandwich do Sul, Ilhas",2016,0,0
572,Grécia,2016,6568,18637
573,Hong Kong,2016,0,0
574,Hungria,2016,8315,58756
575,Indonésia,2016,0,43
576,Irlanda,2016,0,43
577,Israel,2016,12548,44277
578,Itália,2016,7936409,22216811
579,Japão,2016,0,0
580,Iugoslávia,2016,0,0
581,Líbano,2016,10665,71374
582,Luxemburgo,2016,0,43
583,Macedônia,2016,0,0
584,Marrocos,2016,0,0
585,México,2016,0,0
586,Moldávia,2016,0,0
587,Montenegro,2016,0,0
588,Noruega,2016,396,253
589,Nova Zelândia,2016,50177,361030
590,Países Baixos (Holanda),2016,0,43
591,Panamá,2016,0,0
592,Peru,2016,0,0
593,Porto Rico,2016,0,0
594,Portugal,2016,10821232,29495190
595,Reino Unido,2016,5,255
596,Republica Dominicana,2016,0,43
597,Romênia,2016,0,0
598,Rússia,2016,0,43
599,San Marino,2016,0,0
600,Sérvia,2016,0,0
601,Síria,2016,0,0
602,Suazilândia,2016,0,0
603,Suíça,2016,6,245
604,"Tcheca, República",2016,0,0
605,Tunísia,2016,0,0
606,Turquia,2016,0,0
607,Ucrânia,2016,5319,9679
608,Uruguai,2016,2215692,5099162
609,Não consta na tabela,2016,0,0
610,Não declarados,2016,0,0
611,Outros,2016,0,0
612,Africa do Sul,2017,1138732,3241298
613,Alemanha,2017,83289,315959
614,Argélia,2017,0,0
615,Arábia Saudita,2017,0,0
616,Argentina,2017,15461740,51770842
617,Armênia,2017,0,0
618,Austrália,2017,354641,1246545
619,Áustria,2017,2655,24629
620,Bermudas,2017,0,0
621,Bélgica,2017,4376,45221
622,Bolívia,2017,0,0
623,Bósnia-Herzegovina,2017,0,0
624,Brasil,2017,845617,260135
625,Bulgária,2017,35284,68234
626,Canada,2017,0,0
627,Chile,2017,51787643,145628860
628,China,2017,1000,613
629,"Coreia do Sul, República",2017,0,0
630,Croácia,2017,0,0
631,Cuba,2017,0,0
632,Emirados Árabes Unidos,2017,0,0
